adrenal_gland	autonomic_ganglia	biliary_tract	bone	breast	central_nervous_system	cervix	endometrium	eye	genital_tract	haematopoietic_and_lymphoid_tissue	kidney	large_intestine	liver	lung	meninges	NS	oesophagus	ovary	pancreas	penis	perineum	peritoneum	pituitary	placenta	pleura	prostate	salivary_gland	skin	small_intestine	soft_tissue	stomach	testis	thymus	thyroid	upper_aerodigestive_tract	urinary_tract	vagina	vulva	gene
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TPCN1
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	TPCN2
NA	NA	0	NA	0.08333333333333333	0	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	TPPP
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TXNIP
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1	NA	NA	UVRAG
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VAMP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VAMP7
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VAMP8
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VAPA
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VPS16
NA	NA	0	NA	0.04	0	NA	NA	NA	NA	NA	NA	0.02702702702702703	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VPS18
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	VPS33A
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VPS39
NA	NA	0	NA	0	0.022727272727272728	NA	NA	NA	NA	NA	NA	0	0.5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.016666666666666666	NA	NA	NA	VPS41
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.03225806451612903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VTI1B
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	YKT6
